Review_ID,Date,Review_Text,Rating,Sentiment_Label
REV_0001,2025-05-10,The room was amazing but the pool was clean,4,Positive
REV_0002,2025-04-18,The location was fast. the bed was friendly,4,Positive
REV_0003,2025-01-21,The staff was amazing,4,Positive
REV_0004,2025-03-04,The ac was old and the price was smelly,1,Negative
REV_0005,2025-01-23,The bathroom was expensive but the location was friendly,3,Neutral
REV_0006,2025-06-22,The location was clean. the bed was friendly,5,Positive
REV_0007,2025-05-04,The location was clean,5,Positive
REV_0008,2025-04-25,The bed was delicious,4,Positive
REV_0009,2025-04-25,The check-in was dirty but the location was friendly,3,Neutral
REV_0010,2025-04-15,The bed was amazing but the location was great,4,Positive
REV_0011,2025-04-19,The check-in was expensive but the bed was excellent,3,Neutral
REV_0012,2025-04-11,"The bed was clean. However, the location was comfortable",5,Positive
REV_0013,2025-06-15,The view was comfortable and the wifi was great,5,Positive
REV_0014,2025-03-11,The wifi was delicious,5,Positive
REV_0015,2025-06-10,The wifi was amazing but the staff was friendly,4,Positive
REV_0016,2025-05-01,The breakfast was comfortable,4,Positive
REV_0017,2025-06-04,The room was clean and the staff was great,5,Positive
REV_0018,2025-05-27,The ac was rude and the ac was smelly,1,Negative
REV_0019,2025-03-21,The price was smelly but the staff was friendly,3,Neutral
REV_0020,2025-04-05,The price was broken and the carpet was loud,2,Negative
REV_0021,2025-03-13,"The wifi was fast. However, the staff was delicious",4,Positive
REV_0022,2025-06-08,"The room was excellent. However, the room was clean",5,Positive
REV_0023,2025-03-12,The breakfast was great,4,Positive
REV_0024,2025-01-02,The breakfast was comfortable but the bed was clean,5,Positive
REV_0025,2025-06-11,The bed was friendly and the breakfast was comfortable,5,Positive
REV_0026,2025-06-01,The price was old and the ac was dirty,1,Negative
REV_0027,2025-06-02,The elevator was old but the room was comfortable,3,Neutral
REV_0028,2025-04-30,The staff was excellent,4,Positive
REV_0029,2025-02-04,The bed was great but the breakfast was comfortable,5,Positive
REV_0030,2025-02-03,The noise was smelly and the carpet was expensive,1,Negative
REV_0031,2025-01-15,The staff was clean. the breakfast was comfortable,4,Positive
REV_0032,2025-05-15,The wifi was clean and the view was fast,5,Positive
REV_0033,2025-01-17,The bathroom was dirty and the ac was smelly,2,Negative
REV_0034,2025-04-27,The price was slow and the check-in was old,2,Negative
REV_0035,2025-02-26,The staff was fast,4,Positive
REV_0036,2025-04-21,The staff was delicious but the view was delicious,5,Positive
REV_0037,2025-01-27,"The location was excellent. However, the wifi was amazing",4,Positive
REV_0038,2025-05-05,The bathroom was rude but the bed was excellent,3,Neutral
REV_0039,2025-03-12,The view was fast,5,Positive
REV_0040,2025-04-08,The bathroom was slow and the ac was old,1,Negative
REV_0041,2025-05-11,The view was friendly but the room was amazing,5,Positive
REV_0042,2025-02-17,The price was slow and the elevator was old,2,Negative
REV_0043,2025-01-05,The view was excellent,5,Positive
REV_0044,2025-05-28,The elevator was dirty and the elevator was smelly,1,Negative
REV_0045,2025-04-18,The elevator was rude and the noise was loud,2,Negative
REV_0046,2025-01-16,The check-in was old but the wifi was friendly,3,Neutral
REV_0047,2025-05-18,The room was fast but the staff was delicious,4,Positive
REV_0048,2025-02-15,The elevator was rude and the elevator was expensive,2,Negative
REV_0049,2025-03-27,The breakfast was friendly,5,Positive
REV_0050,2025-03-23,The elevator was expensive but the bed was amazing,3,Neutral
REV_0051,2025-03-05,The view was excellent but the pool was clean,4,Positive
REV_0052,2025-04-03,The ac was broken but the breakfast was great,3,Neutral
REV_0053,2025-02-28,The staff was clean,4,Positive
REV_0054,2025-06-04,The wifi was great. the breakfast was excellent,5,Positive
REV_0055,2025-05-11,The noise was broken and the elevator was rude,2,Negative
REV_0056,2025-05-10,The wifi was delicious but the room was delicious,5,Positive
REV_0057,2025-06-04,The check-in was expensive and the bathroom was smelly,1,Negative
REV_0058,2025-05-14,The noise was slow but the staff was delicious,3,Neutral
REV_0059,2025-05-06,The view was clean but the breakfast was great,4,Positive
REV_0060,2025-01-06,The carpet was old and the check-in was rude,2,Negative
REV_0061,2025-01-06,The pool was friendly,4,Positive
REV_0062,2025-05-23,The pool was amazing,4,Positive
REV_0063,2025-05-16,The ac was old and the check-in was dirty,2,Negative
REV_0064,2025-05-22,The wifi was amazing. the pool was great,4,Positive
REV_0065,2025-05-04,The room was fast,5,Positive
REV_0066,2025-05-06,The bathroom was loud and the carpet was loud,1,Negative
REV_0067,2025-06-07,"The room was friendly. However, the staff was fast",5,Positive
REV_0068,2025-04-07,The location was comfortable but the staff was friendly,5,Positive
REV_0069,2025-04-01,The ac was broken and the ac was old,1,Negative
REV_0070,2025-02-05,The wifi was delicious. the room was friendly,5,Positive
REV_0071,2025-01-13,"The view was great. However, the view was friendly",5,Positive
REV_0072,2025-05-18,The bathroom was expensive but the bed was comfortable,3,Neutral
REV_0073,2025-01-29,The price was dirty and the check-in was expensive,1,Negative
REV_0074,2025-01-05,"The breakfast was friendly. However, the staff was excellent",4,Positive
REV_0075,2025-03-14,The wifi was comfortable,5,Positive
REV_0076,2025-03-03,The breakfast was excellent,5,Positive
REV_0077,2025-03-31,The check-in was dirty but the wifi was clean,3,Neutral
REV_0078,2025-06-25,The wifi was comfortable,4,Positive
REV_0079,2025-06-27,The location was comfortable,5,Positive
REV_0080,2025-06-08,The room was comfortable,4,Positive
REV_0081,2025-03-21,The noise was dirty and the elevator was slow,1,Negative
